User_ID,Session_ID,Date,Traffic_Source,Device_Type,Region,Product_Category,Product_ID,Page_View,Product_View,Add_to_Cart,Checkout,Purchase,Time_On_Page,Bounce_Flag,Payment_Method,Discount,Order_Value,Is_Returning_User
U2132,S123587,2025-06-08,Paid Ads,Tablet,South,Beauty,P1171,1,0,0,0,0,13.0,1,Credit Card,1,0.0,1
U759,S106507,2025-01-19,Social Media,Mobile,North,Books,P1326,1,1,0,0,0,103.73,0,Debit Card,1,0.0,1
U704,S122184,2025-02-23,Social Media,Desktop,East,Beauty,P1339,1,1,1,0,0,57.37,0,UPI,1,0.0,0
U16443,S146296,2025-06-02,Social Media,Mobile,West,Sports,P1474,1,0,0,0,0,11.21,1,Wallet,1,0.0,1
U4386,S145640,2025-02-04,Organic Search,Mobile,East,Home & Kitchen,P1037,1,0,0,0,0,13.61,1,Credit Card,0,0.0,1
U11242,S105631,2025-06-01,Organic Search,mobile,North,Beauty,P1161,1,1,1,0,0,27.96,0,Credit Card,0,0.0,1
U3627,S112960,2025-01-11,Social Media,Mobile,West,Electronics,P1180,1,0,0,0,0,1.0,1,UPI,0,0.0,1
U3427,S136274,2025-02-03,Social Media,Mobile,East,Electronics,P1226,1,0,0,0,0,22.11,1,Wallet,0,0.0,1
U11976,S141918,2025-04-15,Organic Search,Mobile,North,Sports,P1156,1,1,0,0,0,86.69,0,Debit Card,0,0.0,1
U14113,S100611,2025-06-05,Organic Search,Mobile,Central,Sports,P1074,1,1,1,0,0,75.52,0,Debit Card,0,0.0,0
U356,S135681,2025-05-14,Organic Search,Mobile,West,Sports,P1101,1,0,0,0,0,9.74,1,Wallet,1,0.0,1
U15645,S149420,2025-01-30,Organic Search,Mobile,West,Fashion,P1200,1,1,1,0,0,90.41,0,Net Banking,1,0.0,0
U16951,S131952,2025-02-28,Paid Ads,Mobile,East,Electronics,P1494,1,1,0,0,0,23.74,0,UPI,0,0.0,1
U3280,S146645,2025-06-15,Social Media,Mobile,South,Electronics,P1264,1,1,1,1,1,39.82,0,Net Banking,0,11646.17,0
U10841,S124264,2025-01-28,Paid Ads,Desktop,East,Grocery,P1316,1,1,0,0,0,83.28,0,Wallet,1,0.0,0
U17844,S120089,2025-01-08,Social Media,Mobile,South,Home & Kitchen,P1433,1,0,0,0,0,12.29,1,UPI,0,0.0,1
U3347,S120950,2025-06-28,Paid Ads,Mobile,East,Fashion,P1351,1,1,0,0,0,40.72,0,UPI,1,0.0,1
U7174,S105714,2025-03-15,Email,Mobile,North,Beauty,P1255,1,1,1,1,1,71.84,0,COD,0,411.85,1
U10010,S136217,2025-01-05,Organic Search,Desktop,,Home & Kitchen,P1280,1,1,1,1,1,47.83,0,Debit Card,0,2308.91,1
U11589,S134462,2025-02-04,Organic Search,Mobile,West,Home & Kitchen,P1224,1,1,0,0,0,89.07,0,Credit Card,0,0.0,0
U8557,S105302,2025-01-15,Organic Search,Mobile,East,Beauty,P1004,1,0,0,0,0,11.0,1,UPI,0,0.0,0
U13155,S108369,2025-02-17,Direct,Mobile,Central,Fashion,P1063,1,1,0,0,0,168.58,0,COD,1,0.0,1
U9836,S115820,2025-04-21,Paid Ads,Mobile,South,Books,P1053,1,1,1,1,1,40.7,0,Credit Card,1,480.75,0
U14557,S130460,2025-01-25,Social Media,Mobile,Central,Books,P1144,1,0,0,0,0,11.67,1,UPI,0,0.0,0
U9113,S124508,2025-03-01,Direct,Tablet,Central,Grocery,P1015,1,1,0,0,0,114.21,0,Credit Card,1,0.0,1
U8565,S132463,2025-02-04,Organic Search,Mobile,East,Fashion,P1450,1,0,0,0,0,12.53,1,UPI,0,0.0,1
U4757,S145504,2025-03-27,Social Media,Mobile,West,Electronics,P1119,1,0,0,0,0,13.09,1,Debit Card,1,0.0,0
U12121,S149518,2025-03-27,Paid Ads,Mobile,East,Electronics,P1206,1,0,0,0,0,20.61,1,Wallet,1,0.0,0
